position,channel,shaft_expected_hz,shaft_fft_peak_hz,shaft_error_hz,shaft_fft_local_snr_db,bpfi_expected_hz,bpfi_envelope_peak_hz,bpfi_error_hz,bpfi_envelope_local_snr_db
ShaftEndTop,CH0,23.333333333333332,23.25000000000001,-0.08333333333332149,67.53299474413825,204.5773655503782,205.25000000000009,0.6726344496218815,22.99820022224468
ShaftEndTop,CH1,23.333333333333332,23.25000000000001,-0.08333333333332149,63.972938109502806,204.5773655503782,205.25000000000009,0.6726344496218815,22.213005320229442
ShaftEndTop,CH2,23.333333333333332,23.25000000000001,-0.08333333333332149,65.10237732128938,204.5773655503782,205.50000000000009,0.9226344496218815,20.480287359428107
ShaftEndTop,CH3,23.333333333333332,23.25000000000001,-0.08333333333332149,65.11219035564443,204.5773655503782,205.50000000000009,0.9226344496218815,23.01494101150352
ShaftEndSide,CH0,23.333333333333332,23.25000000000001,-0.08333333333332149,51.46984940244628,204.5773655503782,205.25000000000009,0.6726344496218815,23.94883017121596
ShaftEndSide,CH1,23.333333333333332,23.25000000000001,-0.08333333333332149,52.82852554287837,204.5773655503782,205.25000000000009,0.6726344496218815,22.274890716644535
ShaftEndSide,CH2,23.333333333333332,23.25000000000001,-0.08333333333332149,52.312857557976294,204.5773655503782,205.50000000000009,0.9226344496218815,24.2453740603278
ShaftEndSide,CH3,23.333333333333332,23.25000000000001,-0.08333333333332149,51.47030054140552,204.5773655503782,205.50000000000009,0.9226344496218815,21.973971611402135
MotorEndTop,CH0,23.333333333333332,23.25000000000001,-0.08333333333332149,70.37397776430483,204.5773655503782,205.25000000000009,0.6726344496218815,22.21609850428227
MotorEndTop,CH1,23.333333333333332,23.25000000000001,-0.08333333333332149,71.17096192039689,204.5773655503782,205.25000000000009,0.6726344496218815,21.411886835672163
MotorEndTop,CH2,23.333333333333332,23.25000000000001,-0.08333333333332149,69.10025331914044,204.5773655503782,205.50000000000009,0.9226344496218815,19.672658054985032
MotorEndTop,CH3,23.333333333333332,23.25000000000001,-0.08333333333332149,69.50936862263285,204.5773655503782,205.50000000000009,0.9226344496218815,21.23269523348401
MotorEndSide,CH0,23.333333333333332,23.25000000000001,-0.08333333333332149,41.991423214264074,204.5773655503782,205.25000000000009,0.6726344496218815,20.802395925899937
MotorEndSide,CH1,23.333333333333332,23.25000000000001,-0.08333333333332149,57.548270557772724,204.5773655503782,205.25000000000009,0.6726344496218815,19.332656271716058
MotorEndSide,CH2,23.333333333333332,23.25000000000001,-0.08333333333332149,57.31623570873719,204.5773655503782,205.50000000000009,0.9226344496218815,17.350523158864934
MotorEndSide,CH3,23.333333333333332,23.25000000000001,-0.08333333333332149,56.6283644411893,204.5773655503782,205.50000000000009,0.9226344496218815,18.947765584696644
