position,new_rms_median_g,legacy_rms_g,new_to_legacy_rms_ratio,new_peak_median_g,legacy_peak_g,new_to_legacy_peak_ratio,new_shaft_snr_median_db,legacy_shaft_snr_db,new_bpfi_envelope_snr_median_db,legacy_bpfi_envelope_snr_db,comparison_limit
ShaftEndTop,0.9011494271183272,0.47577816426644237,1.894053772954723,31.8908956416671,7.068492226324245,4.511697066440857,65.10728383846691,66.47538958697267,22.60560277123706,19.124348453841954,Sequential systems/runs; not calibration equivalence
ShaftEndSide,0.8241779905470894,0.48636928984165645,1.6945518719231034,28.922319954489893,10.604275809293426,2.7274205683279957,51.891579049690904,50.504322628467946,23.111860443930247,17.755363758678612,Sequential systems/runs; not calibration equivalence
MotorEndTop,0.45074210804755316,0.38018451522102653,1.1855877606838006,3.947449243873308,2.583868948476708,1.5277281172485484,69.94167319346883,67.70474207452563,21.322291034578086,14.345298389047104,Sequential systems/runs; not calibration equivalence
MotorEndSide,0.22843325102504988,0.10793712315342341,2.1163548216895824,4.662934835784473,1.3028772522169294,3.5789517606898036,56.97230007496324,55.609961643770504,19.14021092820635,10.192180995884318,Sequential systems/runs; not calibration equivalence
