position,new_shaft_fft_amplitude_median_g,legacy_shaft_fft_amplitude_g,new_to_legacy_shaft_fft_amplitude_ratio,new_bpfi_fft_amplitude_median_g,legacy_bpfi_fft_amplitude_g,new_to_legacy_bpfi_fft_amplitude_ratio,new_bpfi_envelope_amplitude_median_g,legacy_bpfi_envelope_amplitude_g,new_to_legacy_bpfi_envelope_amplitude_ratio,comparison_limit
ShaftEndTop,0.21864830398641077,0.21424912239018354,1.0205330203790315,0.0014542033512256643,0.0012979674358379772,1.1203696726696537,0.09611269844727263,0.04346252412273617,2.2113924671253513,"Same Welch/envelope processing, but sequential runs and different sensor/mount/native transfer functions"
ShaftEndSide,0.067631234994194,0.05440958062125368,1.2430023209510943,0.0008278324805311465,0.0006958467947311814,1.1896763580709653,0.07714986367263346,0.036701504366701644,2.1020899552725036,"Same Welch/envelope processing, but sequential runs and different sensor/mount/native transfer functions"
MotorEndTop,0.3632550663537163,0.3165275433091769,1.1476254564011101,0.001131863988286345,0.0008488711103087306,1.3333755555359765,0.019137032682763976,0.0061285581597624,3.122599506097517,"Same Welch/envelope processing, but sequential runs and different sensor/mount/native transfer functions"
MotorEndSide,0.020546333641936414,0.01773393997219725,1.1585882028555612,0.0012172218052464061,0.0008241986992223497,1.4768548001772908,0.013722786502713172,0.0026435765439922782,5.1909926852313815,"Same Welch/envelope processing, but sequential runs and different sensor/mount/native transfer functions"
