component,order_relative_to_shaft,frequency_hz_at_rpm,rpm
shaft,1.0,23.333333333333332,1400.0
FTF,0.4154932412846336,9.69484229664145,1400.0
BPFO,6.232398619269504,145.42263444962174,1400.0
BPFI,8.767601380730495,204.5773655503782,1400.0
BSF,2.804625211866109,65.44125494354253,1400.0
