position,new_full_band_rms_median_g,legacy_full_band_rms_g,full_band_new_to_legacy_ratio,new_common_0_7khz_rms_median_g,legacy_common_0_7khz_rms_g,common_0_7khz_new_to_legacy_ratio,new_common_band_rms_retained_percent,legacy_common_band_rms_retained_percent,comparison_limit
ShaftEndTop,0.9011494271183272,0.47577816426644237,1.894053772954723,0.6323075644974794,0.460164013431299,1.374091728256975,70.16678316263891,96.71818675007555,"Same digital filter and final 30 s, but different sensors, runs, mounting events, and native anti-alias responses"
ShaftEndSide,0.8241779905470894,0.48636928984165645,1.6945518719231034,0.4654399651391022,0.47949418415150574,0.9706894901399621,56.473233995261516,98.58644329859129,"Same digital filter and final 30 s, but different sensors, runs, mounting events, and native anti-alias responses"
MotorEndTop,0.45074210804755316,0.38018451522102653,1.1855877606838006,0.4307622144003693,0.37923094627738774,1.13588360504021,95.56733367252302,99.7491825928038,"Same digital filter and final 30 s, but different sensors, runs, mounting events, and native anti-alias responses"
MotorEndSide,0.22843325102504988,0.10793712315342341,2.1163548216895824,0.1502644983740237,0.1067650858551956,1.407431063913777,65.78048410191639,98.91414810401992,"Same digital filter and final 30 s, but different sensors, runs, mounting events, and native anti-alias responses"
