position,channel_count,rms_median_g,rms_min_g,rms_max_g,rms_across_channel_cv_percent,shaft_snr_median_db,bpfi_envelope_snr_median_db,metadata_conflict_count
ShaftEndTop,4,0.9011494271183272,0.8821942040784049,0.9265627230883158,2.0632352113157566,65.10728383846691,22.60560277123706,1
ShaftEndSide,4,0.8241779905470894,0.7930385521049881,0.8672115038231438,3.7386533807491755,51.891579049690904,23.111860443930247,0
MotorEndTop,4,0.45074210804755316,0.4428983127545842,0.46970307909903225,2.6185010157904776,69.94167319346883,21.322291034578086,0
MotorEndSide,4,0.22843325102504988,0.22166385522578114,0.24041855175681315,3.92015251185047,56.97230007496324,19.14021092820635,0
