channel,sensor_sensitivity_v_per_g,position_count,position_normalized_rms_median,position_normalized_rms_min,position_normalized_rms_max,maximum_absolute_rms_deviation_percent,shaft_screen_pass_count,bpfi_screen_pass_count,range_screen_pass_count,metadata_conflict_count
CH0,0.0964,4,1.0236966211555782,0.9622175806691574,1.0524674086543073,5.246740865430732,4,4,4,1
CH1,0.101,4,0.9915960241312789,0.9758919121913203,1.028200978888989,2.820097888898898,4,4,4,0
CH2,0.0991,4,1.0012389860578041,0.9825980418671214,1.0241080878086797,2.410808780867968,4,4,4,0
CH3,0.1001,4,0.9939841805838787,0.9703659788192288,1.0522138588625605,5.221385886256047,4,4,4,0
